epoch,bce,kld,total
313,975.091172,85.504869,1060.596041
314,977.551492,85.396134,1062.947626
315,973.9532,85.568767,1059.521967
316,972.831196,85.405393,1058.23659
317,972.264596,85.396163,1057.660758
318,972.095107,85.324608,1057.419715
319,971.643682,85.273355,1056.917037
320,972.609825,85.233235,1057.84306
321,971.510478,85.506298,1057.016776
322,971.777869,85.267974,1057.045843
323,971.655924,85.339135,1056.995059
324,971.542335,85.489047,1057.031382
325,972.664679,85.478554,1058.143233
326,973.311232,85.2976,1058.608832
327,971.779231,85.503048,1057.28228
328,970.73206,85.407028,1056.139088
329,969.476891,85.52179,1054.998681
330,969.480253,85.39096,1054.871213
331,973.092132,85.200198,1058.29233
332,971.424149,85.430721,1056.85487
333,971.505835,85.411734,1056.91757
334,970.689363,85.517253,1056.206616
335,970.877249,85.301656,1056.178905
336,970.847319,85.398002,1056.245321
337,969.571784,85.432224,1055.004008
338,969.892294,85.513238,1055.405532
339,969.074778,85.312561,1054.387339
340,968.982307,85.374745,1054.357052
341,968.593754,85.340393,1053.934148
342,967.8872,85.41197,1053.29917
343,968.613329,85.317681,1053.93101
344,967.665283,85.228956,1052.894239
345,967.166941,85.616448,1052.783389
346,966.634042,85.614426,1052.248468
347,967.071348,85.245815,1052.317163
348,968.367979,85.416453,1053.784432
349,967.416544,85.264869,1052.681413
350,966.936225,85.328557,1052.264782
351,966.854155,85.167556,1052.021711
352,967.901932,85.38641,1053.288342
353,967.611547,85.410671,1053.022219
354,965.908802,85.397448,1051.30625
355,966.506176,85.410054,1051.91623
356,965.962893,85.475408,1051.4383
357,966.260502,85.30574,1051.566242
358,967.412561,85.486674,1052.899235
359,967.551603,85.616749,1053.168352
360,966.127698,85.342374,1051.470073
361,968.807353,85.231909,1054.039262
362,966.611883,85.382689,1051.994572
363,965.185263,85.458878,1050.64414
364,965.182144,85.343122,1050.525266
365,964.830111,85.465872,1050.295983
366,966.215838,85.397523,1051.613361
367,966.300927,85.215628,1051.516555
368,963.672971,85.423398,1049.09637
369,964.928184,85.151126,1050.07931
370,963.637394,85.200285,1048.837679
371,963.680442,85.456274,1049.136716
372,963.999667,85.310786,1049.310452
373,962.68505,85.367428,1048.052478
374,961.984185,85.227709,1047.211894
375,961.632458,85.453252,1047.08571
376,963.421764,85.485717,1048.907481
377,963.471395,85.396536,1048.867931
378,963.066901,85.203999,1048.2709
379,962.677098,85.396056,1048.073154
380,962.310613,85.516018,1047.826631
381,962.045938,85.404733,1047.45067
382,963.067429,85.354178,1048.421608
383,962.986665,85.390832,1048.377497
384,962.136232,85.486071,1047.622303
